index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc,code_smells,cognitive_complexity,ncloc,any-type-count_ncloc
80,gemworks/gem-farm,0.0055219716345036,0.3050847457627119,880026.4347826086,0.0232504068821204,95.0,400.0,17204.0,0.0041850732387816
81,jycouet/kitql,0.0136986301369863,0.2580645161290322,1450857.3846153845,0.1237769080234833,28.0,253.0,2044.0,0.0
82,mlomb/chat-analytics,0.0241379310344827,0.1494252873563218,1250447.6153846155,0.1310344827586207,42.0,228.0,1740.0,0.0206896551724137
83,Dun-sin/Code-Magic,0.0106048703849175,0.5128205128205128,333463.3823529412,0.0797329143754909,27.0,203.0,2546.0,0.0
84,pheralb/slug,0.0088154269972451,0.0428571428571428,inf,0.0352617079889807,16.0,64.0,1815.0,0.0
85,scale8/scale8-tag-manager-and-analytics,,0.2911392405063291,inf,,,,,
86,denoland/showcase_chat,0.0100755667506297,0.3484848484848485,4195520.6,0.0419815281276238,12.0,50.0,1191.0,0.0
87,AlexandroMtzG/remix-page-blocks,0.0084219858156028,0.119047619047619,inf,0.0722517730496453,76.0,652.0,9024.0,0.0015514184397163
88,priyankarpal/ProjectsHut,0.017910447761194,0.7,30123.11111111111,0.0429850746268656,30.0,72.0,1675.0,0.0041791044776119
89,MananTank/cybertype,0.0053050397877984,0.2,inf,0.0954907161803713,8.0,144.0,1508.0,0.0
90,calcom/synclinear.com,0.0071574642126789,0.1797752808988764,2523626.214285714,0.1584867075664621,35.0,775.0,4890.0,0.0028629856850715
91,harlan-zw/nuxt-delay-hydration,0.0143805309734513,0.5,4108051.0714285714,0.1172566371681416,13.0,106.0,904.0,0.0011061946902654
92,FuelLabs/swayswap,0.005050505050505,0.5783132530120482,729269.3555555556,0.0386557886557886,52.0,398.0,10296.0,0.0
93,ionic-team/trapeze,,0.2121212121212121,1247184.6981132077,,,,,
94,jbilcke/latent-browser,0.0121776504297994,0.3695652173913043,inf,0.0222063037249283,17.0,31.0,1396.0,0.0042979942693409
95,nrwl/monorepo.tools,0.0006535947712418,0.1914893617021276,inf,0.0034858387799564,3.0,16.0,4590.0,0.0006535947712418
96,noahflk/railtrack,0.0028215377380672,0.0735294117647058,260506.0,0.0569010110510228,12.0,242.0,4253.0,0.0
97,danloh/mdSilo-web,0.0102212737279568,0.1489361702127659,inf,0.0876109176682017,91.0,780.0,8903.0,0.0
98,skillrecordings/products,0.0076863094575025,0.2692307692307692,2172923.363636364,0.0453380862203408,69.0,407.0,8977.0,0.1421410270691767
99,FrontendMasters/remix-fundamentals,0.0044032968273681,0.1956521739130435,inf,0.0658989123480486,117.0,1751.0,26571.0,0.0
100,tastejs/angular-movies,0.0054195477480844,0.3225806451612903,inf,0.0341992150999813,29.0,183.0,5351.0,0.0095309287983554
101,zerforschung/schnelltesttest.de,0.0108616944243301,0.1777777777777777,inf,0.08544532947139753,15.0,118.0,1381.0,0.000724112961622
